date,Data Scientist Jobs,AI Tools,Machine Learning Course,DS_Jobs_MA,AI_Tools_MA,ML_Course_MA,ML_leads_DS
2021-01-03,1,0,0,,,,
2021-01-10,1,0,1,,,,
2021-01-17,1,0,1,,,,0.0
2021-01-24,1,0,0,1.0,0.0,0.5,1.0
2021-01-31,1,0,1,1.0,0.0,0.75,1.0
2021-02-07,1,0,0,1.0,0.0,0.5,0.0
2021-02-14,1,0,0,1.0,0.0,0.25,1.0
2021-02-21,1,0,1,1.0,0.0,0.5,0.0
2021-02-28,1,0,0,1.0,0.0,0.25,0.0
2021-03-07,1,0,0,1.0,0.0,0.25,1.0
2021-03-14,1,0,0,1.0,0.0,0.25,0.0
2021-03-21,1,0,0,1.0,0.0,0.0,0.0
2021-03-28,1,0,0,1.0,0.0,0.0,0.0
2021-04-04,1,0,0,1.0,0.0,0.0,0.0
2021-04-11,1,0,1,1.0,0.0,0.25,0.0
2021-04-18,1,0,0,1.0,0.0,0.25,0.0
2021-04-25,1,0,0,1.0,0.0,0.25,1.0
2021-05-02,1,0,0,1.0,0.0,0.25,0.0
2021-05-09,1,0,0,1.0,0.0,0.0,0.0
2021-05-16,1,0,1,1.0,0.0,0.25,0.0
2021-05-23,1,0,0,1.0,0.0,0.25,0.0
2021-05-30,1,0,1,1.0,0.0,0.5,1.0
2021-06-06,1,0,1,1.0,0.0,0.75,0.0
2021-06-13,1,0,1,1.0,0.0,0.75,1.0
2021-06-20,1,0,1,1.0,0.0,1.0,1.0
2021-06-27,1,0,1,1.0,0.0,1.0,1.0
2021-07-04,1,0,1,1.0,0.0,1.0,1.0
2021-07-11,1,0,1,1.0,0.0,1.0,1.0
2021-07-18,1,0,1,1.0,0.0,1.0,1.0
2021-07-25,1,0,1,1.0,0.0,1.0,1.0
2021-08-01,1,0,1,1.0,0.0,1.0,1.0
2021-08-08,1,0,1,1.0,0.0,1.0,1.0
2021-08-15,1,0,1,1.0,0.0,1.0,1.0
2021-08-22,1,0,1,1.0,0.0,1.0,1.0
2021-08-29,1,0,1,1.0,0.0,1.0,1.0
2021-09-05,1,0,1,1.0,0.0,1.0,1.0
2021-09-12,1,0,1,1.0,0.0,1.0,1.0
2021-09-19,1,0,1,1.0,0.0,1.0,1.0
2021-09-26,1,0,1,1.0,0.0,1.0,1.0
2021-10-03,1,0,1,1.0,0.0,1.0,1.0
2021-10-10,1,0,1,1.0,0.0,1.0,1.0
2021-10-17,1,0,1,1.0,0.0,1.0,1.0
2021-10-24,1,0,1,1.0,0.0,1.0,1.0
2021-10-31,1,0,0,1.0,0.0,0.75,1.0
2021-11-07,1,0,1,1.0,0.0,0.75,1.0
2021-11-14,1,0,1,1.0,0.0,0.75,0.0
2021-11-21,1,0,1,1.0,0.0,0.75,1.0
2021-11-28,1,0,1,1.0,0.0,1.0,1.0
2021-12-05,1,0,1,1.0,0.0,1.0,1.0
2021-12-12,1,0,0,1.0,0.0,0.75,1.0
2021-12-19,1,0,0,1.0,0.0,0.5,1.0
2021-12-26,1,0,0,1.0,0.0,0.25,0.0
2022-01-02,1,0,1,1.0,0.0,0.25,0.0
2022-01-09,1,0,1,1.0,0.0,0.5,0.0
2022-01-16,1,0,1,1.0,0.0,0.75,1.0
2022-01-23,1,0,1,1.0,0.0,1.0,1.0
2022-01-30,1,0,1,1.0,0.0,1.0,1.0
2022-02-06,1,0,1,1.0,0.0,1.0,1.0
2022-02-13,1,0,1,1.0,0.0,1.0,1.0
2022-02-20,1,0,1,1.0,0.0,1.0,1.0
2022-02-27,1,0,1,1.0,0.0,1.0,1.0
2022-03-06,1,0,1,1.0,0.0,1.0,1.0
2022-03-13,1,0,1,1.0,0.0,1.0,1.0
2022-03-20,1,0,1,1.0,0.0,1.0,1.0
2022-03-27,1,0,1,1.0,0.0,1.0,1.0
2022-04-03,1,0,1,1.0,0.0,1.0,1.0
2022-04-10,1,0,1,1.0,0.0,1.0,1.0
2022-04-17,1,1,1,1.0,0.25,1.0,1.0
2022-04-24,1,0,1,1.0,0.25,1.0,1.0
2022-05-01,1,0,1,1.0,0.25,1.0,1.0
2022-05-08,1,0,1,1.0,0.25,1.0,1.0
2022-05-15,1,0,1,1.0,0.0,1.0,1.0
2022-05-22,1,0,1,1.0,0.0,1.0,1.0
2022-05-29,1,0,1,1.0,0.0,1.0,1.0
2022-06-05,1,1,1,1.0,0.25,1.0,1.0
2022-06-12,1,0,1,1.0,0.25,1.0,1.0
2022-06-19,1,1,1,1.0,0.5,1.0,1.0
2022-06-26,1,0,1,1.0,0.5,1.0,1.0
2022-07-03,1,1,1,1.0,0.5,1.0,1.0
2022-07-10,1,0,1,1.0,0.5,1.0,1.0
2022-07-17,1,1,1,1.0,0.5,1.0,1.0
2022-07-24,1,1,1,1.0,0.75,1.0,1.0
2022-07-31,1,1,1,1.0,0.75,1.0,1.0
2022-08-07,1,1,1,1.0,1.0,1.0,1.0
2022-08-14,1,1,1,1.0,1.0,1.0,1.0
2022-08-21,1,1,1,1.0,1.0,1.0,1.0
2022-08-28,1,1,1,1.0,1.0,1.0,1.0
2022-09-04,1,1,1,1.0,1.0,1.0,1.0
2022-09-11,1,1,1,1.0,1.0,1.0,1.0
2022-09-18,1,1,1,1.0,1.0,1.0,1.0
2022-09-25,1,1,1,1.0,1.0,1.0,1.0
2022-10-02,1,1,1,1.0,1.0,1.0,1.0
2022-10-09,1,1,1,1.0,1.0,1.0,1.0
2022-10-16,1,1,1,1.0,1.0,1.0,1.0
2022-10-23,1,1,1,1.0,1.0,1.0,1.0
2022-10-30,1,1,1,1.0,1.0,1.0,1.0
2022-11-06,1,1,1,1.0,1.0,1.0,1.0
2022-11-13,1,1,1,1.0,1.0,1.0,1.0
2022-11-20,1,1,1,1.0,1.0,1.0,1.0
2022-11-27,1,1,1,1.0,1.0,1.0,1.0
2022-12-04,1,1,1,1.0,1.0,1.0,1.0
2022-12-11,1,1,1,1.0,1.0,1.0,1.0
2022-12-18,1,1,1,1.0,1.0,1.0,1.0
2022-12-25,1,1,1,1.0,1.0,1.0,1.0
2023-01-01,1,2,1,1.0,1.25,1.0,1.0
2023-01-08,1,2,1,1.0,1.5,1.0,1.0
2023-01-15,1,3,1,1.0,2.0,1.0,1.0
2023-01-22,1,3,1,1.0,2.5,1.0,1.0
2023-01-29,1,3,1,1.0,2.75,1.0,1.0
2023-02-05,1,4,1,1.0,3.25,1.0,1.0
2023-02-12,1,4,1,1.0,3.5,1.0,1.0
2023-02-19,1,4,1,1.0,3.75,1.0,1.0
2023-02-26,1,3,1,1.0,3.75,1.0,1.0
2023-03-05,1,3,1,1.0,3.5,1.0,1.0
2023-03-12,1,4,1,1.0,3.5,1.0,1.0
2023-03-19,1,4,1,1.0,3.5,1.0,1.0
2023-03-26,1,5,1,1.0,4.0,1.0,1.0
2023-04-02,1,5,1,1.0,4.5,1.0,1.0
2023-04-09,1,5,1,1.0,4.75,1.0,1.0
2023-04-16,1,5,1,1.0,5.0,1.0,1.0
2023-04-23,1,5,1,1.0,5.0,1.0,1.0
2023-04-30,1,6,1,1.0,5.25,1.0,1.0
2023-05-07,1,6,1,1.0,5.5,1.0,1.0
2023-05-14,1,6,1,1.0,5.75,1.0,1.0
2023-05-21,1,7,1,1.0,6.25,1.0,1.0
2023-05-28,1,6,1,1.0,6.25,1.0,1.0
2023-06-04,1,8,1,1.0,6.75,1.0,1.0
2023-06-11,1,8,1,1.0,7.25,1.0,1.0
2023-06-18,1,7,1,1.0,7.25,1.0,1.0
2023-06-25,1,7,1,1.0,7.5,1.0,1.0
2023-07-02,1,7,1,1.0,7.25,1.0,1.0
2023-07-09,1,8,1,1.0,7.25,1.0,1.0
2023-07-16,1,7,1,1.0,7.25,1.0,1.0
2023-07-23,1,7,1,1.0,7.25,1.0,1.0
2023-07-30,1,7,1,1.0,7.25,1.0,1.0
2023-08-06,1,8,1,1.0,7.25,1.0,1.0
2023-08-13,1,7,1,1.0,7.25,1.0,1.0
2023-08-20,1,7,1,1.0,7.25,1.0,1.0
2023-08-27,1,7,1,1.0,7.25,1.0,1.0
2023-09-03,1,7,1,1.0,7.0,1.0,1.0
2023-09-10,1,7,1,1.0,7.0,1.0,1.0
2023-09-17,1,8,1,1.0,7.25,1.0,1.0
2023-09-24,1,8,1,1.0,7.5,1.0,1.0
2023-10-01,1,9,1,1.0,8.0,1.0,1.0
2023-10-08,1,7,1,1.0,8.0,1.0,1.0
2023-10-15,1,8,1,1.0,8.0,1.0,1.0
2023-10-22,1,7,1,1.0,7.75,1.0,1.0
2023-10-29,1,7,1,1.0,7.25,1.0,1.0
2023-11-05,1,8,1,1.0,7.5,1.0,1.0
2023-11-12,1,7,1,1.0,7.25,1.0,1.0
2023-11-19,1,7,1,1.0,7.25,1.0,1.0
2023-11-26,1,8,1,1.0,7.5,1.0,1.0
2023-12-03,1,8,1,1.0,7.5,1.0,1.0
2023-12-10,1,8,1,1.0,7.75,1.0,1.0
2023-12-17,1,7,1,1.0,7.75,1.0,1.0
2023-12-24,1,6,1,1.0,7.25,1.0,1.0
2023-12-31,1,6,1,1.0,6.75,1.0,1.0
2024-01-07,1,7,1,1.0,6.5,1.0,1.0
2024-01-14,1,8,1,1.0,6.75,1.0,1.0
2024-01-21,1,8,1,1.0,7.25,1.0,1.0
2024-01-28,1,10,1,1.0,8.25,1.0,1.0
2024-02-04,1,10,1,1.0,9.0,1.0,1.0
2024-02-11,1,9,1,1.0,9.25,1.0,1.0
2024-02-18,1,10,1,1.0,9.75,1.0,1.0
2024-02-25,1,11,1,1.0,10.0,1.0,1.0
2024-03-03,1,10,1,1.0,10.0,1.0,1.0
2024-03-10,1,10,1,1.0,10.25,1.0,1.0
2024-03-17,1,10,1,1.0,10.25,1.0,1.0
2024-03-24,1,9,1,1.0,9.75,1.0,1.0
2024-03-31,1,9,1,1.0,9.5,1.0,1.0
2024-04-07,1,8,1,1.0,9.0,1.0,1.0
2024-04-14,1,9,1,1.0,8.75,1.0,1.0
2024-04-21,1,9,1,1.0,8.75,1.0,1.0
2024-04-28,1,9,1,1.0,8.75,1.0,1.0
2024-05-05,1,8,1,1.0,8.75,1.0,1.0
2024-05-12,1,9,1,1.0,8.75,1.0,1.0
2024-05-19,1,9,1,1.0,8.75,1.0,1.0
2024-05-26,1,8,1,1.0,8.5,1.0,1.0
2024-06-02,1,10,1,1.0,9.0,1.0,1.0
2024-06-09,1,9,1,1.0,9.0,1.0,1.0
2024-06-16,1,8,1,1.0,8.75,1.0,1.0
2024-06-23,1,8,1,1.0,8.75,1.0,1.0
2024-06-30,1,8,1,1.0,8.25,1.0,1.0
2024-07-07,1,8,1,1.0,8.0,1.0,1.0
2024-07-14,1,8,1,1.0,8.0,1.0,1.0
2024-07-21,1,9,1,1.0,8.25,1.0,1.0
2024-07-28,1,8,1,1.0,8.25,1.0,1.0
2024-08-04,1,9,1,1.0,8.5,1.0,1.0
2024-08-11,1,8,1,1.0,8.5,1.0,1.0
2024-08-18,1,9,1,1.0,8.5,1.0,1.0
2024-08-25,1,9,1,1.0,8.75,1.0,1.0
2024-09-01,1,10,1,1.0,9.0,1.0,1.0
2024-09-08,1,10,1,1.0,9.5,1.0,1.0
2024-09-15,1,10,1,1.0,9.75,1.0,1.0
2024-09-22,1,11,1,1.0,10.25,1.0,1.0
2024-09-29,1,10,1,1.0,10.25,1.0,1.0
2024-10-06,1,10,1,1.0,10.25,1.0,1.0
2024-10-13,1,11,1,1.0,10.5,1.0,1.0
2024-10-20,1,11,1,1.0,10.5,1.0,1.0
2024-10-27,1,10,1,1.0,10.5,1.0,1.0
2024-11-03,1,11,1,1.0,10.75,1.0,1.0
2024-11-10,1,11,1,1.0,10.75,1.0,1.0
2024-11-17,1,12,1,1.0,11.0,1.0,1.0
2024-11-24,1,11,1,1.0,11.25,1.0,1.0
2024-12-01,1,11,1,1.0,11.25,1.0,1.0
2024-12-08,1,12,1,1.0,11.5,1.0,1.0
2024-12-15,1,11,1,1.0,11.25,1.0,1.0
2024-12-22,1,12,1,1.0,11.5,1.0,1.0
2024-12-29,1,12,1,1.0,11.75,1.0,1.0
2025-01-05,1,13,1,1.0,12.0,1.0,1.0
2025-01-12,1,13,1,1.0,12.5,1.0,1.0
2025-01-19,1,14,1,1.0,13.0,1.0,1.0
2025-01-26,1,16,1,1.0,14.0,1.0,1.0
2025-02-02,1,16,1,1.0,14.75,1.0,1.0
2025-02-09,1,17,1,1.0,15.75,1.0,1.0
2025-02-16,1,19,1,1.0,17.0,1.0,1.0
2025-02-23,1,17,1,1.0,17.25,1.0,1.0
2025-03-02,1,17,1,1.0,17.5,1.0,1.0
2025-03-09,1,17,1,1.0,17.5,1.0,1.0
2025-03-16,1,18,1,1.0,17.25,1.0,1.0
2025-03-23,1,18,1,1.0,17.5,1.0,1.0
2025-03-30,1,17,1,1.0,17.5,1.0,1.0
2025-04-06,1,17,1,1.0,17.5,1.0,1.0
2025-04-13,1,16,1,1.0,17.0,1.0,1.0
2025-04-20,1,17,1,1.0,16.75,1.0,1.0
2025-04-27,1,18,1,1.0,17.0,1.0,1.0
2025-05-04,1,18,1,1.0,17.25,1.0,1.0
2025-05-11,1,18,1,1.0,17.75,1.0,1.0
2025-05-18,1,19,1,1.0,18.25,1.0,1.0
2025-05-25,1,20,1,1.0,18.75,1.0,1.0
2025-06-01,1,29,1,1.0,21.5,1.0,1.0
2025-06-08,1,39,1,1.0,26.75,1.0,1.0
2025-06-15,1,38,1,1.0,31.5,1.0,1.0
2025-06-22,1,40,1,1.0,36.5,1.0,1.0
2025-06-29,1,35,1,1.0,38.0,1.0,1.0
2025-07-06,1,33,1,1.0,36.5,1.0,1.0
2025-07-13,1,39,1,1.0,36.75,1.0,1.0
2025-07-20,1,40,2,1.0,36.75,1.25,1.0
2025-07-27,1,44,2,1.0,39.0,1.5,1.0
2025-08-03,1,64,3,1.0,46.75,2.0,2.0
2025-08-10,1,82,3,1.0,57.5,2.5,2.0
2025-08-17,2,78,3,1.25,67.0,2.75,3.0
2025-08-24,1,69,3,1.25,73.25,3.0,3.0
2025-08-31,1,68,3,1.25,74.25,3.0,3.0
2025-09-07,1,67,3,1.25,70.5,3.0,3.0
2025-09-14,1,87,2,1.0,72.75,2.75,3.0
2025-09-21,1,100,2,1.0,80.5,2.5,3.0
2025-09-28,1,82,2,1.0,84.0,2.25,2.0
2025-10-05,1,69,2,1.0,84.5,2.0,2.0
2025-10-12,1,66,2,1.0,79.25,2.0,2.0
2025-10-19,1,64,2,1.0,70.25,2.0,2.0
2025-10-26,1,60,2,1.0,64.75,2.0,2.0
2025-11-02,1,58,2,1.0,62.0,2.0,2.0
2025-11-09,1,62,2,1.0,61.0,2.0,2.0
2025-11-16,1,65,3,1.0,61.25,2.25,2.0
2025-11-23,1,69,3,1.0,63.5,2.5,2.0
2025-11-30,2,89,3,1.25,71.25,2.75,3.0
2025-12-07,1,81,2,1.25,76.0,2.75,3.0
2025-12-14,1,71,2,1.25,77.5,2.5,3.0
2025-12-21,1,26,1,1.25,66.75,2.0,2.0
2025-12-28,1,26,1,1.0,51.0,1.5,2.0
2026-01-04,1,23,1,1.0,36.5,1.25,1.0
